|title|keyphrase
5216|'대권 재수' 문재인, 5년 前과 달라진 점은 뭘까|{'후보', '나라', '약점', '창조', '화룡점정', '필요', '표방', '그림', '협력', '인터뷰', '준비', '스스로', '소득', '박근혜', '대한민국', '영남 권역', '영입', '무게', '운명', '포용', '관련', '박경준', '캠프 산하', '노력', '각오', '비판', '설명', '합격', '농단', '강조', '꽃다발', '대통령', '대한민국 위원회', '대통령 후보', '김광두', '생각', '탄핵', '회견', '변화', '위원장', '종편', '오후', '수식어', '지난번', '로드맵', '목소리', '핵심 관계자', '다음', '실내 체육관', '이야기', '대연정', '여성지', '담론', '극복', '민주당 문재인', '언론', '지지자'}
5243|문재인 후보, 현충원 참배로 첫 본선행보…봉하마을 방문|{'이동해', '박정희', '노무현', '동작동', '이승만', '지도부', '기자', '대통령', '현충원 방문', '권양숙', '민주당 문재인', '김대중'}
5288|"홍준표측 ""문재인 후보, 의혹 해명하고 정책으로 겨뤄야"""|{'전희경 대변인', '의구심', '문재인', '대한민국', '수석', '평가', '홍준표 캠프', '논평', '민주당', '직접', '승리', '자유', '세력', '민주당 문재인', '적폐 청산', '본격', '홍준표 이슬기'}
5290|문재인-안철수 '어게인 2012'…5년만에 대권 놓고 재대결|{'강원', '민주당 문재인', '돌입', '소속', '장충 체육관', '치명타', '상황', '교체', '서울 장충', '연설회', '경쟁자 관계', '급상승', '국민', '지난해', '박동주', '충청', '티켓', '박근혜', '이지은', '차례', '맞대결', '취재진', '지지율 흐름', '형국', '마지막 순간', '건곤일척', '안철수', '리턴', '사람', '출마', '행진', '스카이', '양측', '대통령', '한솥밥', '소속 안철수', '달개비', '해인', '최종', '서울', '외나무다리', '수도', '지지층', '개최', '이듬해 국민', '확정', '관계', '웃음', '사퇴', '격돌', '장외', '지지자'}
5303|문재인의 집권구상 키워드는 '적폐청산 통한 국민통합'|{'계획', '박근혜 대통령', '나라', '문재인', '완성', '심어', '미래 개혁', '부정부패', '포인트', '치열', '희생', '점철', '이재명', '양민', '초월', '별개', '시스템', '평등', '대한민국', '질서', '관련', '신준희', '포용', '중년', '항쟁', '대통령 파면', '절차', '위안부 합의', '한반도', '적폐 청산', '근본', '최우선', '일자리 창출', '언급', '연장선', '스펙트럼', '스카이', '지지자', '압승', '대통령', '공화국', '몰상식', '도움', '생각', '무기', '미사일', '축하', '약속', '노년층', '서울 구로구', '차별', '귀결', '서울', '건설', '철학', '다음', '갈등 프레임', '이분법', '오후 서울', '난마', '요지', '민주당', '대전환', '민주당 문재인', '안희정 충남', '쓰레기통'}
5315|[표] 문답으로 알아본 문재인|{'민주당 문재인', '문재인 대선', '대선 후보'}
5329|"유승민측 ""문재인 후보 선출 축하…이제 국민통합 나서야"""|{'모임', '유승민', '노무현', '김동현', '생각', '세계관', '선출', '지상욱 수석', '이날', '진정', '여의도', '수석 대변인', '민주당 문재인', '김도훈', '갈등', '오전', '우려', '민주당 대통령'}
5330|본선 검증대 오른 문재인…'아들 문제' '안보관' 등 표적|{'결속', '문재인', '과거', '돌파', '유능', '자유', '그룹', '반미', '일축', '갈등', '친문', '서울시', '여론', '검토', '차단', '총공세', '화학', '신준희', '아들 취업', '발휘', '탕평', '선대위', '적극 쟁점', '진영', '권혁기', '아들', '지지율', '칼날', '연합뉴스', '절차', '정보원', '남북 관계', '한반도', '방침', '허위', '복무', '비판', '부시장', '학번', '휴직', '집중', '민주주의', '정유라', '스카이', '총괄', '대통령', '임종석', '송영길', '캠프 구성', '임명', '논란', '검증', '경색', '지지층', '이후 북한', '발언', '참여', '민주당', '위기감', '리더십', '의혹', '프레임', '민주당 문재인', '폐쇄', '극복', '안희정 충남'}
5356|[연합시론] '대세론 수성' 도전 앞에 선 문재인|{'나라', '불안감', '문재인', '정의당 심상정', '도약', '관측', '분열', '상황', '생명', '부정부패', '안희정', '증오', '자유', '내부', '이재명', '절반', '통합', '촛불', '질서', '권역', '모색', '존위', '지지율', '처음', '박빙', '적폐 청산', '안철수', '신뢰', '출마', '최근', '직행', '해소', '흐름', '대통령 탄핵', '청산', '기류', '화해', '포함', '유승민', '그동안 각종', '형성', '홍준표', '민주당', '적임자', '리더십', '태극기', '선택', '각종 여론'}
5361|문재인 승리 '숨은공신' 아내 김정숙씨…'풍찬노숙' 내조|{'구석구석', '참석', '강원', '광산구', '바자회', '정신대 피해자', '역할', '문재인', '대변인 역할', '대중목욕탕', '관계자', '승리', '완도군 소안도', '공식', '지난해', '독립 운동가', '출연', '연합뉴스', '책임감', '정치인', '밀착', '피해자 할머니', '미술', '활약상', '양강 할머니', '종친회', '홀아비', '예방', '압승', '섬마을', '캠프', '대통령', '서혜', '변호사', '허달재', '생각', '판단', '김정숙', '모습', '이야기', '인터넷', '카페', '춘설', '지난달', '운동가 김남두', '민주당', '극복', '유니버시아드 체육관', '고마움', '언론', '며느리'}
5371|"정의당 ""문재인 대선후보 선출 축하…선명한 개혁경쟁"""|{'정의당', '법인세', '임금', '문재인', '위원회 대변인', '안희정', '확대', '입장', '자유', '이재명', '구조', '대한민국', '지역주의 해소', '성과', '박근혜', '안철수', '민주당 대통령', '적폐', '기자', '오늘날 대한민국', '권위주의', '명시', '검증', '배진교', '비정규직'}
5373|"국민의당 ""문재인 후보 확정 진심으로 축하…선의의 경쟁하자"""|{'이재명', '최종', '장진영 대변인', '페이스북', '평가', '안철수', '격려', '대통령', '미래 세력', '부정부패', '안희정', '논평', '산업', '세력', '별도', '김철근 대변인', '민주당 문재인', '국민', '박지원'}
5376|문재인, 민주당 대선후보로 대권 재도전…경선 득표율 57%(종합)|{'고양', '정의당 심상정', '미래 개혁', '부정부패', '안희정', '포인트', '안철수 급부상', '석패', '급상승', '구로구 고척', '이재명', '누적 득표율', '통합', '여론', '박근혜', '교섭단체 가운데', '대한민국', '질서', '시나리오', '신준희', '장미', '선대위', '레이스', '현직 단체장', '직면', '손가락', '적폐', '운동', '누계', '직행', '강조', '서울 고척', '난무', '고척 스카이', '어온', '합류', '대통령', '캠프', '추미애', '누적', '몰상식', '청산', '역부족', '김종인', '어깨', '서울 구로구', '대진표', '사실', '포함', '유승민', '마련', '심혈', '지지층', '광폭', '이분법', '오후 서울', '경쟁력', '홍준표', '발판', '非文', '민주당 문재인', '양강', '권역', '쓰레기통'}
5388|"한국당 ""문재인 후보 축하…선의의 경쟁 펼치자"""|{'강원', '누적 득표율', '고척 스카이', '일러스트 이슬기', '대통령', '인사', '논평', '자유', '민주당 문재인', '정준길 대변인'}
5390|민주 대선후보 문재인, 인권변호사서 '적폐청산 선봉' 자임|{'민주당 비대위', '문재인', '저서', '폐족', '관계자', '국회의원', '미군', '치열', '석방', '담배', '탄핵 심판', '우여곡절', '재결합', '길가', '노무현 대통령', '손학규', '신준희', '통합민주당', '국민장', '연수원', '박연차', '정치인', '출마', '마지막', '스카이', '어온', '배달', '고승덕 변호사', '대통령 후보', '김종인', '위원장', '양동이', '의기투합', '설립', '글씨', '피란민', '민주당', '적임자', '프레임', '봉하', '지지자', '움직임', '후보', '하반기', '패권주의', '핵심', '교체', '청와대', '이재명', '등극', '박원순 서울', '구호물자', '分黨', '득표율', '지지율', '처음', '안철수 후보', '격무', '위원회', '청소년기', '현실', '대흥사', '모두', '징집', '걸출', '입버릇', '함경도', '대통령 탄핵', '탄핵', '송두환', '사법연수원 차석', '가운데', '검찰', '세월', '눈물', '유치장', '복귀', '돌파', '안희정', '승리', '경희대', '이듬해', '가난', '와신상담', '문제아', '생활', '스카우트', '변호인', '흥망성쇠', '변호사', '불편', '소용돌이', '서거', '투입', '히말라야 트래킹', '어머니', '밥벌이', '재판관', '서울', '노무현', '박시환 대법관', '구축', '무릎', '대변인', '석패', '초등', '재수생', '중학교', '리어카', '쿠데타', '박근혜', '대한민국', '침잠', '대의명분', '포용력', '뇌물', '판문점 도끼', '항쟁', '경쟁자', '바람', '사상구', '다짐', '합격', '이사장', '아버지', '박근혜 후보', '대통령 서거', '군복', '김정숙', '각종', '참여', '이명박', '조영래 변호사'}
5408|문재인, 민주당 대선후보로 선출…경선 득표율 57%(3보)|{'후보', '문재인', '정의당 심상정', '안희정', '포인트', '석패', '자유', '공식', '이재명', '홍준표 후보', '통합', '박근혜', '교섭단체 가운데', '평가', '신준희', '레이스', '득표율', '안철수', '민주당 대통령', '직행', '스카이', '대통령 후보', '서울 구로구', '사실', '심상정 후보', '서울', '포함', '마련', '오후 서울', '유승민 후보', '민주당', '발판', '민주당 문재인', '권역', '지지자'}
5422|"문재인 ""이번 대선은 정의와 불의의 대결""…대선후보 수락연설"|{'나라', '문재인', '이상헌', '미래 개혁', '부정부패', '인사', '교체', '갈등', '구로구 고척', '중요', '이재명', '최성', '통합 대통령', '제주', '통합', '대한민국', '질서', '신준희', '자세', '의미', '정치인', '그동안', '미래 지도자', '민주당 대통령', '다짐', '서울 고척', '꽃다발', '지지자', '고척 스카이', '추미애', '보수', '대통령', '과거 적폐', '旗幟', '캠프', '몰상식', '좌우', '약속', '결별', '서울 구로구', '노년층', '직후', '중년층', '안희정 통합', '이분법', '오후 서울', '민주당', '민주당 문재인', '단계', '쓰레기통'}
5438|민주 경선 최종, 문재인 1위·안희정 2위·이재명 3위(속보)|set()
5451|문재인, 민주당 대선후보로 선출(2보)|{'이재명', '강원', '서울', '후보', '수도', '누적 득표율', '득표율 과반', '스카이', '기자', '과반', '순회', '안희정', '누적', '민주당 문재인', '공식', '권역'}
5452|문재인, 민주당 대선후보로 선출(1보)|set()
5466|"박지원, 어제 김종인과 회동…""金도 '문재인 절대 안돼' 공감"""|{'나라', '문재인', '동맹', '지지율 추이', '간담회', '관계자', '수감', '안희정', '영향', '요구', '교도관', '공개', '박지원', '이재명', '강경', '박근혜', '성과', '평가', '관련', '모색', '최대치', '김정은', '트럼프 행정부', '지지율', '대책위', '단체장', '처음', '내용', '미사일 방어', '함구', '조찬', '대통령', '생각', '김종인', '이광빈 홍지인', '유세', '정보국', '예견', '얘기', '민주당', '장외', '안희정 충남', '분석'}
5495|"""3자·5자 대결 문재인 승리…안철수 약진"""|{'내일신문', '정의당 심상정', '무응답', '포인트', '후보 지지층', '성별', '지난해', '행정자치부', '홍준표 후보', '연령', '여론', '모름', '디오 피니언', '안철수', '이귀원', '유권자', '표본', '심상정 후보', '심의위 홈페이지', '가중값', '등록', '유승민 후보', '민주당 문재인'}
5507|"문재인 ""안희정의 통합정신·이재명의 분노 맞잡겠다"""|{'참석', '문재인', '강원도', '한과 눈물', '이상헌', '교체', '안희정', '황해', '박원순', '치열', '준비', '이재명', '제주', '통합', '호소', '부끄러움', '박근혜', '조금', '올림픽', '신준희', '포용', '용서', '항쟁', '오로지 문재인', '특별', '명품', '안철수', '적폐', '언급', '경기도', '내년', '총동원', '스카이', '대통령 후보', '제주 마지막', '좌절', '하루', '혜택', '중심지', '추념식', '서울', '김부겸', '일자리', '남북', '왼쪽', '골목', '오로지', '민주당', '해결', '선거'}
5538|경찰, '문재인 비방 혐의' 신연희 구청장 조만간 소환 방침|{'카카오톡', '대변인', '피의자', '문재인', '번호', '단체 채팅', '정광용', '간담회', '체포영장 검토', '마무리', '요구서', '공산주의', '선거법 위반', '법률 위반', '검토 임기창', '동영상', '애초 지난달', '박근혜', '대한민국', '저항 총궐기', '파손', '참가자', '디지털', '사태', '손괴', '소환', '신연희 서울', '서울 강남구', '대통령 탄핵', '김정훈 서울', '단체', '총궐기 운동', '정광용 대변인', '바탕', '구청장', '서울 경찰청', '공직 선거법', '지난달', '압수수색', '민주당', '나머지'}
5558|"문재인측 ""文 검증된 지지도"" vs 안희정측 ""文, 확장성에 문제"""|{'문재인', '안희정', '융단 폭격', '국민', '박지원', '준비', '취업', '박근혜', '양극단', '아들 취업', '마지막 순회', '아들', '지지율', '임형섭', '노력', '차이', '내용', '예상', '안철수', '최근 급상승', '제기', '라디오 인터뷰', '최근', '운동', '멘토', '마음속', '역선택', '이날', '대통령', '송영길', '호감', '생각', '탄핵', '지지자 상당수', '검증', '크다', '분리', '경쟁력', '이명박', '촛불 민심', '박영선', '민주당', '안희정 충남', '처마'}
5561|"""문재인 34.9%, 안철수 18.7%, 안희정 12.1%, 이재명 10%"""|{'정의당 심상정', '중앙', '대부분', '가중치 부여', '반면', '강건', '포인트', '부여 방식', '급상승', '개요', '행정자치부', '이재명', '리얼미터 홈페이지', '시나리오', '손학규', '남녀', '응답자', '진영', '지지율', '위원회 홈페이지', '자릿수', '안철수', '하락세', '실시', '시장', '참조', '김진태', '상승세', '표본', '포함', '유승민', '결과 리얼미터', '서울', '지지층', '지난주', '안희정 충청남도', '지난달', '홍준표', '공동', '단일', '민주당 문재인', '마감'}
5578|"""문재인 34.6%·안철수 22.3%·안희정 12.0%""< KSOI>"|{'후보', '문재인', '정의당 심상정', '연구소', '부정부패', '포인트', '회복', '홈페이지 참조', '이재명', '통합', '지지율', '대책위', '위원회 홈페이지', '적폐 청산', '안철수', '최우선', '진행', '일자리 창출', '포인트 하락', '시장', '심상정', '유권자', '김종인', '표본', '소통 강화', '유승민', '지난주', '포인트 서혜', '홍준표', '활성', '가운데', '민주당 문재인'}
